	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Lampea_pancerina	0.0988372093023256	0.0988372093023256	0.0988372093023256	0	0	0.0988372093023256	0	0	0.0988372093023256	0.0988372093023256	0.0988372093023256	0.0988372093023256	0	0.0988372093023256	0.0872093023255814	0.0988372093023256	0	0.0872093023255814	0.0988372093023256	0.0988372093023256	0.0988372093023256	0.0872093023255814	0.0988372093023256	0.0988372093023256	0.0988372093023256	0	0	0	0	0.0988372093023256	0.0988372093023256	0.0988372093023256	0.0988372093023256	0.0872093023255814	0.0872093023255814	0	0.0755813953488372	0.0872093023255814	0.0872093023255814	0	0	0	0.0988372093023256	0.0988372093023256	0.0988372093023256	0	0.0872093023255814	0.0988372093023256	0		0	0.0988372093023256	0	0.0872093023255814	0	0.0988372093023256	0	0.0465116279069767	0	0.0872093023255814	0.0988372093023256	0	0.0988372093023256	0	0.0988372093023256	0.00581395348837209	0.0988372093023256	0.0988372093023256	0	0.0988372093023256	0	0	0	0	0	0	0	0.0988372093023256	0.0988372093023256	0.0988372093023256	0.0988372093023256	0.0988372093023256	0.00581395348837209	0.0988372093023256	0	0	0.0988372093023256	0	0.0988372093023256	0.00581395348837209	0.0116279069767442	0	0.0872093023255814	0.0872093023255814	0.0988372093023256	0.0988372093023256	0
Latrunculia_apicalis	0.0116279069767442	0.0116279069767442	0.0116279069767442	0	0	0.0116279069767442	0.0116279069767442	0	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0	0.0116279069767442	0	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0	0.0116279069767442	0.0116279069767442	0.0116279069767442	0	0.0116279069767442	0	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0	0.0116279069767442	0.0116279069767442	0.0116279069767442	0	0	0	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0	0.0116279069767442	0.0116279069767442	0.0116279069767442	0		0.0116279069767442	0	0	0	0.0116279069767442	0	0.0116279069767442	0	0.0116279069767442	0.0116279069767442	0	0.0116279069767442	0	0.00581395348837209	0	0.0116279069767442	0.0116279069767442	0	0.0116279069767442	0.0116279069767442	0.00581395348837209	0	0	0	0	0	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0	0.0116279069767442	0	0	0.0116279069767442	0	0.0116279069767442	0	0.0116279069767442	0	0.0116279069767442	0.0116279069767442	0.0116279069767442	0.0116279069767442	0
Leuconia_nivea	1	1	1	0	0	1	0.0116279069767442	0	1	1	1	0.866279069767442	0	1	0.441860465116279	1	0.0174418604651163	0.162790697674419	1	1	1	0.215116279069767	1	1	1	0.00581395348837209	0.0116279069767442	0	0.0116279069767442	1	1	1	1	0.337209302325581	0.767441860465116	0.0116279069767442	0.395348837209302	0.441860465116279	0.232558139534884	0	0.0116279069767442	0.0116279069767442	1	0.715116279069767	1	0	0.406976744186047	1	0.0116279069767442	0.0988372093023256	0.0116279069767442		0.00581395348837209	0.656976744186046	0	1	0	0.0755813953488372	0	0.511627906976744	1	0	1	0.0465116279069767	0.645348837209302	0.00581395348837209	1	1	0.127906976744186	1	0.0116279069767442	0.00581395348837209	0	0	0	0.11046511627907	0	1	1	1	1	1	0.0930232558139535	1	0.0174418604651163	0.00581395348837209	1	0	1	0.00581395348837209	0.331395348837209	0.0116279069767442	0.697674418604651	0.697674418604651	1	1	0
Leucosolenia_complicata	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0	0.00581395348837209	0	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0	0.00581395348837209	0	0.00581395348837209	0	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0	0	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0	0	0	0.00581395348837209	0	0	0	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0	0.00581395348837209	0	0	0	0.00581395348837209		0	0	0.00581395348837209	0	0	0	0	0.00581395348837209	0	0.00581395348837209	0	0	0	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0	0	0	0	0	0	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0	0.00581395348837209	0	0	0	0.00581395348837209	0.00581395348837209	0
Liriope_tetraphylla	0.656976744186046	0.656976744186046	0.656976744186046	0	0	0.656976744186046	0	0	0.656976744186046	0.656976744186046	0.656976744186046	0.656976744186046	0	0.656976744186046	0.441860465116279	0.656976744186046	0.00581395348837209	0.151162790697674	0.656976744186046	0.656976744186046	0.656976744186046	0.215116279069767	0.656976744186046	0.656976744186046	0.656976744186046	0.00581395348837209	0	0	0	0.656976744186046	0.656976744186046	0.656976744186046	0.656976744186046	0.337209302325581	0.656976744186046	0	0.372093023255814	0.215116279069767	0.232558139534884	0	0	0	0.656976744186046	0.372093023255814	0.656976744186046	0	0.395348837209302	0.656976744186046	0	0.0872093023255814	0	0.656976744186046	0		0	0.656976744186046	0	0.063953488372093	0	0.5	0.656976744186046	0	0.656976744186046	0	0.5	0.00581395348837209	0.656976744186046	0.656976744186046	0.127906976744186	0.656976744186046	0	0	0	0	0	0.11046511627907	0	0.656976744186046	0.656976744186046	0.656976744186046	0.656976744186046	0.656976744186046	0.0523255813953488	0.656976744186046	0.0174418604651163	0	0.656976744186046	0	0.656976744186046	0.00581395348837209	0	0.0116279069767442	0.656976744186046	0.656976744186046	0.656976744186046	0.656976744186046	0
Lucernariopsis_campanulata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ministeria_vibrans	1	1	1	0	0	1	0.0116279069767442	0	1	1	1	0.866279069767442	0	1	0.441860465116279	1	0.0174418604651163	0.162790697674419	1	1	1	0.215116279069767	1	1	1	0.00581395348837209	0.0116279069767442	0	0.0116279069767442	1	1	1	1	0.337209302325581	0.767441860465116	0.0116279069767442	0.395348837209302	0.441860465116279	0.232558139534884	0	0.0116279069767442	0.0116279069767442	1	0.715116279069767	1	0	0.406976744186047	1	0.0116279069767442	0.0988372093023256	0.0116279069767442	1	0.00581395348837209	0.656976744186046	0		0	0.0755813953488372	0	0.511627906976744	1	0	1	0.0465116279069767	0.645348837209302	0.00581395348837209	1	1	0.127906976744186	1	0.0116279069767442	0.00581395348837209	0	0	0	0.11046511627907	0	1	1	1	1	1	0.0930232558139535	1	0.0174418604651163	0.00581395348837209	1	0	1	0.00581395348837209	0.331395348837209	0.0116279069767442	0.697674418604651	0.697674418604651	1	1	0
Mnemiopsis_leidyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Monosiga_brevicollis_mx1	0.0755813953488372	0.0755813953488372	0.0755813953488372	0	0	0.0755813953488372	0.0116279069767442	0	0.0755813953488372	0.0755813953488372	0.0755813953488372	0.0755813953488372	0	0.0755813953488372	0.0581395348837209	0.0755813953488372	0.0116279069767442	0.063953488372093	0.0755813953488372	0.0755813953488372	0.0755813953488372	0.0523255813953488	0.0755813953488372	0.0755813953488372	0.0755813953488372	0	0.0116279069767442	0	0.0116279069767442	0.0755813953488372	0.0755813953488372	0.0755813953488372	0.0755813953488372	0.0581395348837209	0.0755813953488372	0.0116279069767442	0.0581395348837209	0.0523255813953488	0.0581395348837209	0	0.0116279069767442	0.0116279069767442	0.0755813953488372	0.0697674418604651	0.0755813953488372	0	0.0697674418604651	0.0755813953488372	0.0116279069767442	0.0465116279069767	0.0116279069767442	0.0755813953488372	0	0.063953488372093	0	0.0755813953488372	0		0	0.0697674418604651	0.0755813953488372	0	0.0755813953488372	0	0.063953488372093	0	0.0755813953488372	0.0755813953488372	0.00581395348837209	0.0755813953488372	0.0116279069767442	0.00581395348837209	0	0	0	0.00581395348837209	0	0.0755813953488372	0.0755813953488372	0.0755813953488372	0.0755813953488372	0.0755813953488372	0	0.0755813953488372	0	0	0.0755813953488372	0	0.0755813953488372	0	0.0116279069767442	0.00581395348837209	0.0755813953488372	0.0755813953488372	0.0755813953488372	0.0755813953488372	0
Montastraea_faveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycale_phyllophila	0.511627906976744	0.511627906976744	0.511627906976744	0	0	0.511627906976744	0.0116279069767442	0	0.511627906976744	0.511627906976744	0.511627906976744	0.511627906976744	0	0.511627906976744	0.441860465116279	0.511627906976744	0.0116279069767442	0.162790697674419	0.511627906976744	0.511627906976744	0.511627906976744	0.215116279069767	0.511627906976744	0.511627906976744	0.511627906976744	0.00581395348837209	0.0116279069767442	0	0.0116279069767442	0.511627906976744	0.511627906976744	0.511627906976744	0.511627906976744	0.337209302325581	0.511627906976744	0.0116279069767442	0.308139534883721	0.215116279069767	0.232558139534884	0	0.0116279069767442	0.0116279069767442	0.511627906976744	0.226744186046512	0.511627906976744	0	0.406976744186047	0.511627906976744	0.0116279069767442	0.0872093023255814	0.0116279069767442	0.511627906976744	0	0.5	0	0.511627906976744	0	0.0697674418604651	0		0.511627906976744	0	0.511627906976744	0	0.505813953488372	0.00581395348837209	0.511627906976744	0.511627906976744	0.127906976744186	0.511627906976744	0.0116279069767442	0.00581395348837209	0	0	0	0.11046511627907	0	0.511627906976744	0.511627906976744	0.511627906976744	0.511627906976744	0.511627906976744	0.0406976744186047	0.511627906976744	0.0116279069767442	0	0.511627906976744	0	0.511627906976744	0.00581395348837209	0.0116279069767442	0.0116279069767442	0.511627906976744	0.511627906976744	0.511627906976744	0.511627906976744	0
Mylnosiga_fluctuans_19	1	1	1	0	0	1	0.0116279069767442	0	1	1	1	0.866279069767442	0	1	0.441860465116279	1	0.0174418604651163	0.162790697674419	1	1	1	0.215116279069767	1	1	1	0.00581395348837209	0.0116279069767442	0	0.0116279069767442	1	1	1	1	0.337209302325581	0.767441860465116	0.0116279069767442	0.395348837209302	0.441860465116279	0.232558139534884	0	0.0116279069767442	0.0116279069767442	1	0.715116279069767	1	0	0.406976744186047	1	0.0116279069767442	0.0988372093023256	0.0116279069767442	1	0.00581395348837209	0.656976744186046	0	1	0	0.0755813953488372	0	0.511627906976744		0	1	0.0465116279069767	0.645348837209302	0.00581395348837209	1	1	0.127906976744186	1	0.0116279069767442	0.00581395348837209	0	0	0	0.11046511627907	0	1	1	1	1	1	0.0930232558139535	1	0.0174418604651163	0.00581395348837209	1	0	1	0.00581395348837209	0.331395348837209	0.0116279069767442	0.697674418604651	0.697674418604651	1	1	0
Nanomia_bijuga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nematostella_vectensis	1	1	1	0	0	1	0.0116279069767442	0	1	1	1	0.866279069767442	0	1	0.441860465116279	1	0.0174418604651163	0.162790697674419	1	1	1	0.215116279069767	1	1	1	0.00581395348837209	0.0116279069767442	0	0.0116279069767442	1	1	1	1	0.337209302325581	0.767441860465116	0.0116279069767442	0.395348837209302	0.441860465116279	0.232558139534884	0	0.0116279069767442	0.0116279069767442	1	0.715116279069767	1	0	0.406976744186047	1	0.0116279069767442	0.0988372093023256	0.0116279069767442	1	0.00581395348837209	0.656976744186046	0	1	0	0.0755813953488372	0	0.511627906976744	1	0		0.0465116279069767	0.645348837209302	0.00581395348837209	1	1	0.127906976744186	1	0.0116279069767442	0.00581395348837209	0	0	0	0.11046511627907	0	1	1	1	1	1	0.0930232558139535	1	0.0174418604651163	0.00581395348837209	1	0	1	0.00581395348837209	0.331395348837209	0.0116279069767442	0.697674418604651	0.697674418604651	1	1	0
Oscarella_carmela	0.0465116279069767	0.0465116279069767	0.0465116279069767	0	0	0.0465116279069767	0	0	0.0465116279069767	0.0465116279069767	0.0465116279069767	0	0	0.0465116279069767	0	0.0465116279069767	0	0	0.0465116279069767	0.0465116279069767	0.0465116279069767	0	0.0465116279069767	0.0465116279069767	0.0465116279069767	0	0	0	0	0.0465116279069767	0.0465116279069767	0.0465116279069767	0.0465116279069767	0	0.0290697674418605	0	0	0.0465116279069767	0	0	0	0	0.0465116279069767	0.0465116279069767	0.0465116279069767	0	0	0.0465116279069767	0	0	0	0.0465116279069767	0	0	0	0.0465116279069767	0	0	0	0	0.0465116279069767	0	0.0465116279069767		0	0	0.0465116279069767	0.0465116279069767	0	0.0465116279069767	0	0	0	0	0	0	0	0.0465116279069767	0.0465116279069767	0.0465116279069767	0.0465116279069767	0.0465116279069767	0	0.0465116279069767	0	0	0.0465116279069767	0	0.0465116279069767	0	0.0465116279069767	0	0	0	0.0465116279069767	0.0465116279069767	0
Oscarella_species	0.645348837209302	0.645348837209302	0.645348837209302	0	0	0.645348837209302	0.00581395348837209	0	0.645348837209302	0.645348837209302	0.645348837209302	0.645348837209302	0	0.645348837209302	0.441860465116279	0.645348837209302	0.00581395348837209	0.156976744186047	0.645348837209302	0.645348837209302	0.645348837209302	0.215116279069767	0.645348837209302	0.645348837209302	0.645348837209302	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0.645348837209302	0.645348837209302	0.645348837209302	0.645348837209302	0.337209302325581	0.529069767441861	0.00581395348837209	0.302325581395349	0.27906976744186	0.232558139534884	0	0.00581395348837209	0.00581395348837209	0.645348837209302	0.36046511627907	0.645348837209302	0	0.401162790697674	0.645348837209302	0.00581395348837209	0.0988372093023256	0.00581395348837209	0.645348837209302	0	0.5	0	0.645348837209302	0	0.063953488372093	0	0.505813953488372	0.645348837209302	0	0.645348837209302	0		0.00581395348837209	0.645348837209302	0.645348837209302	0.127906976744186	0.645348837209302	0.00581395348837209	0	0	0	0	0.11046511627907	0	0.645348837209302	0.645348837209302	0.645348837209302	0.645348837209302	0.645348837209302	0.0406976744186047	0.645348837209302	0.0116279069767442	0	0.645348837209302	0	0.645348837209302	0.00581395348837209	0.145348837209302	0.0116279069767442	0.505813953488372	0.505813953488372	0.645348837209302	0.645348837209302	0
Pelagia_noctiluca	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0	0.00581395348837209	0	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0	0	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0	0.00581395348837209	0	0.00581395348837209	0	0.00581395348837209	0	0	0	0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0	0.00581395348837209		0.00581395348837209	0.00581395348837209	0	0.00581395348837209	0	0	0	0	0	0	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0	0	0.00581395348837209	0	0.00581395348837209	0.00581395348837209	0	0	0.00581395348837209	0.00581395348837209	0.00581395348837209	0.00581395348837209	0
